epoch,step,train_abs_error_E,train_abs_error_N,train_loss,train_loss_E,train_loss_N,train_loss_matrix,train_mae_matrix,train_percent_E,train_percent_N,train_percent_matrix,run_id
0,0,384.1420593261719,823.7307739257812,0.0030807161238044,147565.125,678532.375,0.0030807161238044,0.0312599577009677,0.0,0.0,100.0,0
1,1,371.7509765625,827.773681640625,0.0029881524387747,138198.78125,685209.25,0.0029881524387747,0.0302899256348609,0.0,0.0,100.0,0
2,2,359.9514465332031,831.5338745117188,0.0029084775596857,129565.046875,691448.5625,0.0029084775596857,0.0293823275715112,0.0,0.0,100.0,0
3,3,348.8870849609375,835.0137939453125,0.002840531989932,121722.1953125,697248.0625,0.002840531989932,0.0285393185913562,0.0,0.0,100.0,0
4,4,338.5888366699219,838.2201538085938,0.002783139469102,114642.3984375,702613.0,0.002783139469102,0.0277620181441307,0.0,0.0,100.0,0
5,5,329.0658264160156,841.157470703125,0.0027351088356226,108284.3203125,707545.875,0.0027351088356226,0.0270533375442028,0.0,0.0,100.0,0
6,6,320.3184814453125,843.830810546875,0.0026952840853482,102603.9296875,712050.4375,0.0026952840853482,0.0264485161751508,0.0,0.0,100.0,0
7,7,312.3338623046875,846.24755859375,0.0026625574100762,97552.4453125,716134.9375,0.0026625574100762,0.0259206630289554,0.0,0.0,100.0,0
8,8,305.0894775390625,848.418212890625,0.0026358922477811,93079.5859375,719813.4375,0.0026358922477811,0.025452010333538,0.0,0.0,100.0,0
9,9,298.55572509765625,850.355712890625,0.0026143493596464,89135.5234375,723104.8125,0.0026143493596464,0.0250336248427629,0.0,0.0,100.0,0
10,10,292.6978454589844,852.074462890625,0.0025970893912017,85672.03125,726030.875,0.0025970893912017,0.0246640499681234,0.0,0.0,100.0,0
11,11,287.4773254394531,853.5894775390625,0.0025833745021373,82643.2109375,728615.0,0.0025833745021373,0.0243351757526397,0.0,0.0,100.0,0
12,12,282.85284423828125,854.915771484375,0.0025725639425218,80005.734375,730881.0,0.0025725639425218,0.0240430012345314,0.0,0.0,100.0,0
13,13,278.7816467285156,856.0684204101562,0.0025641084648668,77719.203125,732853.125,0.0025641084648668,0.0237830933183431,0.0,0.0,100.0,0
14,14,275.22119140625,857.0619506835938,0.0025575445033609,75746.703125,734555.1875,0.0025575445033609,0.023551745340228,0.0,0.0,100.0,0
15,15,272.1293640136719,857.910888671875,0.0025524832308292,74054.390625,736011.0625,0.0025524832308292,0.0233485400676727,0.0,0.0,100.0,0
16,16,269.4652099609375,858.6292114257812,0.0025486026424914,72611.5,737244.125,0.0025486026424914,0.023179542273283,0.0,0.0,100.0,0
17,17,267.18927001953125,859.2308349609375,0.0025456389412283,71390.109375,738277.625,0.0025456389412283,0.023029152303934,0.0,0.0,100.0,0
18,18,265.26385498046875,859.7290649414062,0.0025433776900172,70364.9140625,739134.0625,0.0025433776900172,0.0228913687169551,0.0,0.0,100.0,0
