l_max_gnn,num_layers_gnn,num_layers_matrix,edge_update_linear,edge_update,edge_update_residual,head_use_mlp_log_scale,nonlin_kind,activation_scalar,activation_gate,hidden_base_dim,neck_depth,head_depth,energy_error
2,4,1,pre,tensor_product,False,True,gate_magnitudes,leakyrelu,tanh,64,2,3,
2,4,2,post,replace,True,False,normact,leakyrelu,sigmoid,64,4,3,523.2742004394531
3,4,3,post,concat,True,True,gate_scalars_mlp,leakyrelu,tanh,64,2,3,260.97471702098846
3,4,1,pre,tensor_product,False,True,normact,silu,tanh,64,5,4,262.2085876464844
2,3,3,post,tensor_product,True,False,gate_magnitudes,leakyrelu,leakyrelu,64,2,3,
3,4,3,pre,concat,False,True,normact,leakyrelu,leakyrelu,64,4,3,263.8024682998657
2,4,3,post,tensor_product,True,True,gate_magnitudes,tanh,sigmoid,64,2,3,
2,3,1,post,concat,True,True,gate_magnitudes,leakyrelu,leakyrelu,64,3,2,
3,3,1,post,replace,True,False,gate_scalars_mlp,silu,leakyrelu,64,5,3,262.20858762522295
2,4,3,pre,concat,True,True,gate_magnitudes,silu,leakyrelu,64,5,2,
2,3,2,pre,tensor_product,True,True,normact,leakyrelu,tanh,64,5,3,294.93119049072266
3,2,3,pre,concat,False,False,gate_magnitudes,tanh,tanh,64,2,4,
3,3,3,pre,tensor_product,True,True,gate_scalars_mlp,leakyrelu,leakyrelu,64,3,2,262.2090226013679
2,4,3,post,replace,False,True,normact,silu,sigmoid,64,2,3,262.2085876465767
2,3,3,post,tensor_product,True,True,normact,leakyrelu,leakyrelu,64,2,4,382.7399597167969
2,4,3,post,tensor_product,False,False,gate_magnitudes,leakyrelu,sigmoid,64,4,3,
3,2,2,post,tensor_product,True,False,normact,leakyrelu,tanh,64,4,4,266.4680242538452
3,2,2,post,replace,True,True,gate_scalars_mlp,silu,leakyrelu,64,2,2,262.2080782626872
2,3,2,post,concat,False,False,gate_scalars_mlp,tanh,leakyrelu,64,2,3,262.2008906439878
2,4,2,pre,concat,True,True,gate_magnitudes,tanh,leakyrelu,64,2,3,
3,2,3,post,concat,False,True,normact,tanh,leakyrelu,64,4,3,261.19367277622223
3,4,2,post,tensor_product,True,True,normact,tanh,sigmoid,64,4,4,218.03874969482422
3,3,2,post,replace,False,True,gate_scalars_mlp,silu,sigmoid,64,4,2,262.2085876465
3,4,2,pre,tensor_product,False,False,gate_magnitudes,silu,leakyrelu,64,5,4,
3,4,1,pre,replace,True,True,gate_scalars_mlp,leakyrelu,tanh,64,4,3,262.2091043026885
2,3,3,pre,concat,False,True,gate_scalars_mlp,silu,tanh,64,4,4,262.2085876464844
2,2,3,post,tensor_product,False,False,gate_scalars_mlp,leakyrelu,tanh,64,3,2,262.2085876464844
3,2,2,pre,replace,False,False,gate_scalars_mlp,silu,tanh,64,4,2,262.20858764647096
3,3,2,pre,replace,True,False,gate_magnitudes,leakyrelu,sigmoid,64,4,2,
2,2,2,pre,tensor_product,False,True,gate_magnitudes,tanh,sigmoid,64,4,4,
3,3,3,pre,replace,False,True,gate_magnitudes,leakyrelu,sigmoid,64,2,4,
2,3,1,post,tensor_product,True,True,normact,tanh,sigmoid,64,5,4,253.36338710784912
3,3,3,post,concat,True,False,gate_scalars_mlp,leakyrelu,tanh,64,3,3,261.655968606472
3,3,3,pre,tensor_product,True,False,gate_magnitudes,silu,leakyrelu,64,2,3,
