epoch,step,train_abs_error_E,train_abs_error_N,train_loss,train_loss_E,train_loss_N,train_loss_matrix,train_percent_E,train_percent_N,train_percent_matrix,run_id
0,0,258.1366577148437,970.3773803710938,1008.2730102539062,66634.53125,941632.25,0.006156537681818,6.608778953552246,93.39061737060548,0.0006106022046878,0
1,1,224.36358642578125,832.4952392578125,743.3934936523438,50339.01953125,693048.3125,0.0061121182516217,6.771517753601074,93.22765350341795,0.0008221914758905,0
2,2,190.96170043945312,697.631591796875,523.162353515625,36466.37109375,486689.84375,0.00608098693192,6.97037410736084,93.0284652709961,0.0011623518075793,0
3,3,157.80007934570312,565.5411376953125,344.74371337890625,24900.865234375,319836.78125,0.0060654478147625,7.223007678985596,92.77523803710938,0.0017594078090041,0
4,4,124.80186462402344,436.3104248046875,205.9483642578125,15575.505859375,190366.78125,0.0060638636350631,7.562821388244629,92.43423461914062,0.0029443611856549,0
5,5,92.02915954589844,310.42529296875,104.83930206298828,8469.3662109375,96363.859375,0.0060746534727513,8.0784273147583,91.91577911376952,0.00579425226897,0
6,6,59.71220397949219,188.9068603515625,39.2574462890625,3565.54736328125,35685.80078125,0.0060956981033086,9.082474708557127,90.90199279785156,0.015527494251728,0
7,7,28.31922912597656,73.524658203125,6.213978290557861,801.978759765625,5405.87548828125,0.0061239004135131,12.906044960021973,86.99540710449219,0.0985504016280174,0
8,8,1.354949951171875,32.97833251953125,1.095560908317566,1.8358893394470213,1087.5704345703125,0.0061546005308628,0.1675752997398376,99.27064514160156,0.5617762207984924,0
9,9,28.11932373046875,126.78009033203124,16.87006950378418,790.6963500976562,16073.19140625,0.0061809956096112,4.686977863311768,95.27638244628906,0.0366388261318206,0
10,10,50.49215698242188,203.48468017578125,43.961669921875,2549.4580078125,41406.015625,0.0061950124800205,5.799274921417236,94.18663024902344,0.0140918493270874,0
11,11,67.18484497070312,259.69891357421875,71.9635238647461,4513.80322265625,67443.5234375,0.006190906278789,6.2723493576049805,93.71904754638672,0.0086028389632701,0
12,12,77.64202880859375,294.45477294921875,92.73807525634766,6028.28466796875,86703.6171875,0.0061677545309066,6.5003342628479,93.49301147460938,0.0066507249139249,0
13,13,82.08627319335938,309.07720947265625,102.27301025390624,6738.15625,95528.71875,0.0061279428191483,6.588401794433594,93.40560150146484,0.0059917494654655,0
14,14,81.252685546875,306.2577514648437,100.40188598632812,6601.9990234375,93793.8125,0.0060749650001525,6.575573444366455,93.41838073730467,0.0060506481677293,0
15,15,76.12005615234375,289.26397705078125,89.47393035888672,5794.26318359375,83673.6484375,0.0060123400762677,6.475924015045166,93.5173568725586,0.0067196553573012,0
16,16,67.72982788085938,261.4296264648437,72.93873596191406,4587.32958984375,68345.453125,0.0059432662092149,6.2892913818359375,93.70255279541016,0.0081482995301485,0
17,17,57.08395385742188,225.89508056640625,54.29303741455078,3258.577880859375,51028.5859375,0.0058705657720565,6.001834392547607,93.9873504638672,0.0108127417042851,0
18,18,45.09201049804688,185.48858642578125,36.44510269165039,2033.2894287109373,34406.015625,0.0057966881431639,5.579046726226807,94.4050521850586,0.0159052591770887,0
19,19,32.544677734375,142.66473388671875,21.418107986450195,1059.156005859375,20353.2265625,0.0057237297296524,4.94514274597168,95.02812957763672,0.0267237890511751,0
20,20,20.1083984375,99.51080322265624,10.31240177154541,404.3476867675781,9902.400390625,0.0056534763425588,3.920984983444214,96.02420043945312,0.0548221096396446,0
21,21,8.321075439453125,57.737060546875,3.408396005630493,69.24029541015625,3333.568115234375,0.0055873896926641,2.0314629077911377,97.80460357666016,0.1639301776885986,0
22,22,2.408050537109375,18.6865234375,0.3605114817619324,5.798707485198975,349.1861572265625,0.0055265789851546,1.608466863632202,96.85855102539062,1.5329827070236206,0
23,23,11.789779663085938,16.63592529296875,0.4212247431278229,138.9989013671875,276.7539978027344,0.0054718181490898,32.99875259399414,65.70222473144531,1.2990257740020752,0
24,24,19.641921997070312,47.5252685546875,2.6498799324035645,385.80511474609375,2258.651123046875,0.0054235788993537,14.559343338012695,85.2359848022461,0.2046726197004318,0
25,25,25.872970581054688,73.54022216796875,6.082957267761231,669.4105834960938,5408.1640625,0.0053820624016225,11.004690170288086,88.90682983398438,0.0884777307510376,0
26,26,30.46714782714844,94.4581298828125,9.85593318939209,928.2470703125,8922.337890625,0.0053472509607672,9.418155670166016,90.527587890625,0.0542541332542896,0
27,27,33.46673583984375,110.23809814453124,13.277780532836914,1120.0224609375,12152.4384765625,0.0053189545869827,8.435314178466797,91.52462768554688,0.0400590635836124,0
28,28,34.95819091796875,120.9810791015625,15.863794326782228,1222.0750732421875,14636.421875,0.0052968584932386,7.703548431396484,92.2630615234375,0.0333896055817604,0
29,29,35.06103515625,126.90374755859376,17.33911895751953,1229.2762451171875,16104.5615234375,0.0052805598825216,7.089612007141113,92.87993621826172,0.0304546039551496,0
30,30,33.917724609375,128.31170654296875,17.619577407836914,1150.4119873046875,16463.89453125,0.0052695991471409,6.52916955947876,93.44092559814452,0.0299076382070779,0
31,31,31.687545776367188,125.581787109375,16.7801513671875,1004.1005859375,15770.78515625,0.005263477563858,5.983859539031982,93.9847640991211,0.0313672833144664,0
32,32,28.542556762695312,119.14849853515624,15.016304969787598,814.6775512695312,14196.3642578125,0.0052616707980632,5.425286769866943,94.5396728515625,0.0350397154688835,0
33,33,24.6641845703125,109.49407958984376,12.6025390625,608.322021484375,11988.953125,0.0052636279724538,4.826979637145996,95.13125610351562,0.0417664088308811,0
